epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,8511.82,1.29525,0.80296,1.95379,0.98186,0.98028,0.99203,0.87009,1.0142,0.39388,1.85195,0.00208,0.00208,0.00208
82,8617.41,1.28573,0.79037,1.95746,0.9821,0.98175,0.99219,0.87096,1.01128,0.39072,1.8556,0.001981,0.001981,0.001981
83,8722.87,1.28551,0.80377,1.9534,0.98459,0.97998,0.9922,0.87174,1.00995,0.38938,1.85338,0.001882,0.001882,0.001882
84,8828.14,1.27189,0.79054,1.94576,0.98142,0.98145,0.99223,0.87212,1.00673,0.38802,1.85085,0.001783,0.001783,0.001783
85,8933.48,1.26749,0.78293,1.94598,0.98349,0.98098,0.9923,0.87272,1.00409,0.38813,1.84945,0.001684,0.001684,0.001684
86,9038.81,1.24901,0.77637,1.9367,0.98339,0.9808,0.99226,0.8728,1.00395,0.38828,1.84928,0.001585,0.001585,0.001585
87,9144.36,1.24544,0.77429,1.93322,0.98336,0.98212,0.99231,0.87297,1.00303,0.38692,1.84889,0.001486,0.001486,0.001486
88,9250.1,1.25353,0.78294,1.93253,0.98223,0.98296,0.9923,0.87328,1.00263,0.38624,1.84812,0.001387,0.001387,0.001387
89,9355.15,1.23831,0.76818,1.92702,0.98555,0.9797,0.99239,0.87372,1.00109,0.38586,1.84614,0.001288,0.001288,0.001288
90,9460.28,1.23001,0.75975,1.92663,0.98524,0.98149,0.99236,0.8736,0.99947,0.38542,1.84708,0.001189,0.001189,0.001189
91,9564.65,1.09049,0.47682,1.85886,0.98439,0.98223,0.99243,0.87412,0.99803,0.38388,1.84588,0.00109,0.00109,0.00109
92,9668.45,1.07412,0.46026,1.84925,0.98328,0.98288,0.99247,0.87468,0.99583,0.38454,1.84381,0.000991,0.000991,0.000991
93,9772.06,1.06051,0.45682,1.84268,0.98476,0.97996,0.99254,0.87515,0.99458,0.38468,1.84306,0.000892,0.000892,0.000892
94,9875.74,1.04315,0.45186,1.8356,0.98448,0.98132,0.99261,0.87559,0.99302,0.38266,1.84275,0.000793,0.000793,0.000793
95,9979.23,1.03777,0.44643,1.83728,0.98597,0.9806,0.9927,0.87651,0.99064,0.38189,1.84112,0.000694,0.000694,0.000694
96,10083,1.02567,0.44283,1.82496,0.98765,0.98027,0.99272,0.87668,0.98947,0.38056,1.83881,0.000595,0.000595,0.000595
97,10186.6,1.02402,0.44075,1.82361,0.98583,0.9814,0.99271,0.8764,0.98823,0.38235,1.83685,0.000496,0.000496,0.000496
98,10290.2,1.01212,0.43789,1.81913,0.98639,0.98119,0.9928,0.87699,0.98719,0.38039,1.83663,0.000397,0.000397,0.000397
99,10393.6,1.00082,0.4305,1.81715,0.98512,0.98282,0.99283,0.87727,0.98618,0.37983,1.83662,0.000298,0.000298,0.000298
100,10497.3,1.00351,0.43259,1.81416,0.986,0.98236,0.99286,0.87733,0.98526,0.37853,1.83613,0.000199,0.000199,0.000199
